id,date,user,pc,activity
DEV-100923,2024-03-19 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-100959,2024-03-19 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101012,2024-03-20 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101048,2024-03-20 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101051,2024-03-20 01:55:00,USER_INSIDER_BOB,PC-BOB-01,Connect
DEV-101072,2024-03-20 02:40:00,USER_INSIDER_BOB,PC-BOB-01,Disconnect
DEV-101083,2024-03-21 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101119,2024-03-21 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101132,2024-03-22 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101168,2024-03-22 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101179,2024-03-23 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101215,2024-03-23 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101218,2024-03-24 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101254,2024-03-24 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101259,2024-03-25 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101295,2024-03-25 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101308,2024-03-26 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101344,2024-03-26 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101357,2024-03-27 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101393,2024-03-27 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101406,2024-03-28 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101442,2024-03-28 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101455,2024-03-29 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101491,2024-03-29 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
DEV-101502,2024-03-30 02:20:10,USER_INSIDER_MALORY,PC-MAL-01,Connect
DEV-101538,2024-03-30 03:40:00,USER_INSIDER_MALORY,PC-MAL-01,Disconnect
