id,date,user,pc,filename,content
FIL-100010,2024-03-01 10:32:00,USER_BENIGN_ALICE,PC-ALI-01,C:\Users\USER_BENIGN_ALICE\Documents\report.docx,normal
FIL-100011,2024-03-01 09:21:00,USER_BENIGN_ALICE,PC-ALI-01,C:\Users\USER_BENIGN_ALICE\Documents\report.docx,normal
FIL-100012,2024-03-01 11:25:00,USER_BENIGN_ALICE,PC-ALI-01,C:\Users\USER_BENIGN_ALICE\Documents\report.docx,normal
FIL-100013,2024-03-01 11:29:00,USER_BENIGN_ALICE,PC-ALI-01,C:\Users\USER_BENIGN_ALICE\Documents\report.docx,normal
FIL-100022,2024-03-01 15:24:00,USER_INSIDER_MALORY,PC-MAL-01,C:\Users\USER_INSIDER_MALORY\Documents\report.docx,normal
FIL-100023,2024-03-01 13:34:00,USER_INSIDER_MALORY,PC-MAL-01,C:\Users\USER_INSIDER_MALORY\Documents\report.docx,normal
FIL-100024,2024-03-01 09:48:00,USER_INSIDER_MALORY,PC-MAL-01,C:\Users\USER_INSIDER_MALORY\Documents\report.docx,normal
FIL-100025,2024-03-01 09:11:00,USER_INSIDER_MALORY,PC-MAL-01,C:\Users\USER_INSIDER_MALORY\Documents\report.docx,normal
FIL-100026,2024-03-01 13:12:00,USER_INSIDER_MALORY,PC-MAL-01,C:\Users\USER_INSIDER_MALORY\Documents\report.docx,normal
FIL-100027,2024-03-01 09:55:00,USER_INSIDER_MALORY,PC-MAL-01,C:\Users\USER_INSIDER_MALORY\Documents\report.docx,normal
FIL-100039,2024-03-01 15:14:00,USER_INSIDER_BOB,PC-BOB-01,C:\Users\USER_INSIDER_BOB\Documents\report.docx,normal
FIL-100040,2024-03-01 15:35:00,USER_INSIDER_BOB,PC-BOB-01,C:\Users\USER_INSIDER_BOB\Documents\report.docx,normal
FIL-100041,2024-03-01 10:15:00,USER_INSIDER_BOB,PC-BOB-01,C:\Users\USER_INSIDER_BOB\Documents\report.docx,normal
FIL-100053,2024-03-01 12:19:00,USER_PEER_CHARLIE,PC-CHA-01,C:\Users\USER_PEER_CHARLIE\Documents\report.docx,normal
FIL-100054,2024-03-01 10:24:00,USER_PEER_CHARLIE,PC-CHA-01,C:\Users\USER_PEER_CHARLIE\Documents\report.docx,normal
FIL-100055,2024-03-01 13:47:00,USER_PEER_CHARLIE,PC-CHA-01,C:\Users\USER_PEER_CHARLIE\Documents\report.docx,normal
