id,date,user,pc,activity
LGN-100000,2024-03-01 08:30:50,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100001,2024-03-01 17:15:34,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100014,2024-03-01 08:30:22,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100015,2024-03-01 17:15:39,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100028,2024-03-01 08:30:13,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100029,2024-03-01 17:15:42,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100042,2024-03-01 08:30:47,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100043,2024-03-01 17:15:18,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100057,2024-03-01 08:30:55,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100058,2024-03-01 17:15:33,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100070,2024-03-01 08:30:57,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100071,2024-03-01 17:15:52,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100085,2024-03-04 08:30:29,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100086,2024-03-04 17:15:48,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100101,2024-03-04 08:30:40,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100102,2024-03-04 17:15:52,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100116,2024-03-04 08:30:52,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100117,2024-03-04 17:15:56,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100132,2024-03-04 08:30:48,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100133,2024-03-04 17:15:12,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100148,2024-03-04 08:30:51,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100149,2024-03-04 17:15:53,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100164,2024-03-04 08:30:39,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100165,2024-03-04 17:15:20,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100180,2024-03-05 08:30:44,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100181,2024-03-05 17:15:54,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100197,2024-03-05 08:30:23,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100198,2024-03-05 17:15:47,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100216,2024-03-05 08:30:39,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100217,2024-03-05 17:15:49,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100234,2024-03-05 08:30:50,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100235,2024-03-05 17:15:35,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100248,2024-03-05 08:30:32,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100249,2024-03-05 17:15:24,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100260,2024-03-05 08:30:29,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100261,2024-03-05 17:15:37,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100278,2024-03-06 08:30:58,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100279,2024-03-06 17:15:21,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100294,2024-03-06 08:30:48,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100295,2024-03-06 17:15:13,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100310,2024-03-06 08:30:39,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100311,2024-03-06 17:15:26,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100325,2024-03-06 08:30:10,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100326,2024-03-06 17:15:31,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100337,2024-03-06 08:30:49,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100338,2024-03-06 17:15:29,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100353,2024-03-06 08:30:28,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100354,2024-03-06 17:15:39,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100367,2024-03-07 08:30:16,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100368,2024-03-07 17:15:41,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100379,2024-03-07 08:30:44,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100380,2024-03-07 17:15:46,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100394,2024-03-07 08:30:36,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100395,2024-03-07 17:15:10,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100407,2024-03-07 08:30:16,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100408,2024-03-07 17:15:18,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100420,2024-03-07 08:30:33,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100421,2024-03-07 17:15:12,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100439,2024-03-07 08:30:41,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100440,2024-03-07 17:15:51,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100450,2024-03-08 08:30:56,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100451,2024-03-08 17:15:20,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100468,2024-03-08 08:30:14,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100469,2024-03-08 17:15:45,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100479,2024-03-08 08:30:41,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100480,2024-03-08 17:15:53,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100492,2024-03-08 08:30:21,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100493,2024-03-08 17:15:39,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100505,2024-03-08 08:30:29,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100506,2024-03-08 17:15:29,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100516,2024-03-08 08:30:11,USER_PEER_EDWARD,PC-EDW-01,Logon
